material_name,SiC,B4C,Al2O3,WC,TiC,sintering_temperature,pressure,grain_size,holding_time,heating_rate,atmosphere,porosity,phase_distribution,interface_quality,pore_size,connectivity
High Performance SiC,0.85,0.10,0.05,0.00,0.00,2100,80,5.0,180,10,argon,0.01,uniform,excellent,0.5,0.05
Lightweight B4C,0.20,0.70,0.10,0.00,0.00,1950,60,8.0,120,15,nitrogen,0.03,uniform,good,1.2,0.15
Cost Effective Alumina,0.15,0.05,0.75,0.05,0.00,1650,40,15.0,90,12,air,0.05,gradient,fair,2.0,0.25
Multi-Hit Armor,0.60,0.25,0.10,0.05,0.00,2000,70,6.0,150,8,argon,0.02,layered,excellent,0.8,0.08
Balanced Composite,0.50,0.30,0.15,0.05,0.00,1850,55,10.0,100,12,argon,0.025,uniform,good,1.0,0.12
Ultra Hard SiC,0.90,0.05,0.05,0.00,0.00,2200,90,3.0,200,5,vacuum,0.005,uniform,excellent,0.3,0.02
Tough B4C Blend,0.25,0.60,0.10,0.05,0.00,1900,65,7.0,140,10,nitrogen,0.02,uniform,good,0.9,0.10
Economic Al2O3,0.10,0.00,0.85,0.05,0.00,1600,35,20.0,80,15,air,0.08,gradient,fair,3.0,0.30
WC Enhanced,0.40,0.20,0.20,0.20,0.00,2050,75,8.0,160,8,argon,0.015,uniform,excellent,0.7,0.06
TiC Modified,0.45,0.25,0.15,0.05,0.10,1950,60,9.0,130,12,nitrogen,0.03,uniform,good,1.1,0.14
